TIME,UTIME,ITERATION,COMPW,FREQ_B,FREQ_L,FREQ_G,UTIL0,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,GPU_UTIL,VDDINW,MUXW,GPUW,SOCW,CPUW,DDRW,WIFIW,SPEED,MECHW,EXECT,EPD,DIST,SOC,SOH
Tue Feb  3 11:31:38 2026,1770111098,172,4451,652800,499200,318750,51,100,0,40,31,41,240,2815,1636,152,532,608,552,342,4.05411,13042.7,0.0367102,4.31505,652.786,0.982292,0.849974
Tue Feb  3 11:31:39 2026,1770111099,173,4489,652800,499200,318750,43,100,0,25,47,44,15,2853,1636,228,532,608,552,342,4.05411,13042.7,0.0447493,4.32442,656.841,0.982186,0.849974
Tue Feb  3 11:31:40 2026,1770111100,174,4451,652800,499200,318750,43,100,0,35,38,46,23,2815,1636,228,532,608,571,342,4.05411,13042.7,0.0335541,4.31505,660.895,0.98208,0.849974
Tue Feb  3 11:31:41 2026,1770111101,175,4451,652800,499200,318750,44,100,0,37,45,35,22,2815,1636,228,532,608,552,323,4.05411,13042.7,0.0375959,4.31505,664.949,0.981974,0.849973
Tue Feb  3 11:31:42 2026,1770111102,176,4489,652800,499200,318750,45,100,0,39,41,40,0,2853,1636,228,532,608,571,342,4.05411,13042.7,0.0377196,4.32442,669.003,0.981868,0.849973
Tue Feb  3 11:31:43 2026,1770111103,177,4451,652800,499200,318750,46,100,0,34,32,48,0,2815,1636,228,532,608,571,342,4.05411,13042.7,0.0321668,4.31505,673.057,0.981762,0.849973
Tue Feb  3 11:31:44 2026,1770111104,178,4451,652800,499200,318750,42,100,0,44,38,42,23,2815,1636,228,532,608,552,342,4.05411,13042.7,0.0288102,4.31505,677.111,0.981656,0.849973
Tue Feb  3 11:31:45 2026,1770111105,179,4527,652800,499200,318750,46,100,0,43,34,40,33,2891,1636,228,532,608,571,342,4.05411,13042.7,0.0314892,4.33379,681.165,0.98155,0.849972
Tue Feb  3 11:31:46 2026,1770111106,180,4489,652800,499200,318750,40,100,0,40,40,40,167,2853,1636,228,532,608,552,342,4.05411,13042.7,0.0333207,4.32442,685.219,0.981444,0.849972
Tue Feb  3 11:31:47 2026,1770111107,181,4489,652800,499200,318750,43,100,0,39,45,34,0,2853,1636,228,532,608,571,342,4.05411,13042.7,0.0364511,4.32442,689.274,0.981337,0.849972
Tue Feb  3 11:31:48 2026,1770111108,182,4489,652800,499200,318750,46,100,0,37,41,44,0,2853,1636,228,532,608,571,361,4.05411,13042.7,0.0374745,4.32442,693.328,0.981231,0.849972
Tue Feb  3 11:31:49 2026,1770111109,183,4489,652800,499200,318750,45,100,0,38,40,40,225,2853,1636,228,532,608,571,323,4.05411,13042.7,0.0385893,4.32442,697.382,0.981125,0.849971
Tue Feb  3 11:31:50 2026,1770111110,184,4565,652800,499200,318750,46,100,0,42,42,46,0,2929,1636,228,532,684,590,342,4.05411,13042.7,0.0281076,4.34317,701.436,0.981018,0.849971
Tue Feb  3 11:31:51 2026,1770111111,185,4679,652800,499200,318750,64,100,0,92,65,69,0,3043,1636,152,532,760,609,342,4.05411,13042.7,0.0405375,4.37129,705.49,0.980911,0.849971
Tue Feb  3 11:31:52 2026,1770111112,186,4603,652800,499200,318750,56,100,0,84,57,58,226,2967,1636,152,532,684,628,342,4.05411,13042.7,0.0706964,4.35254,709.544,0.980804,0.849971
Tue Feb  3 11:31:53 2026,1770111113,187,4527,652800,499200,318750,53,100,0,50,55,43,226,2891,1636,228,532,684,590,323,4.05411,13042.7,0.0307067,4.33379,713.598,0.980698,0.849971
Tue Feb  3 11:31:54 2026,1770111114,188,4489,652800,499200,318750,60,100,0,54,100,46,23,2853,1636,228,532,684,571,323,4.05411,13042.7,0.0274177,4.32442,717.653,0.980592,0.849971
Tue Feb  3 11:31:55 2026,1770111115,189,4527,652800,499200,318750,59,100,0,51,78,45,0,2891,1636,228,532,608,571,361,4.05411,13042.7,0.0362987,4.33379,721.707,0.980486,0.84997
Tue Feb  3 11:31:56 2026,1770111116,190,4489,652800,499200,318750,45,100,0,34,36,49,243,2853,1636,228,532,608,571,342,4.05411,13042.7,0.0334811,4.32442,725.761,0.98038,0.84997
Tue Feb  3 11:31:57 2026,1770111117,191,4489,652800,499200,318750,44,100,0,41,31,46,242,2853,1636,228,532,608,552,342,4.05411,13042.7,0.0299496,4.32442,729.815,0.980273,0.84997
Tue Feb  3 11:31:58 2026,1770111118,192,4565,652800,499200,318750,44,100,0,44,49,55,59,2929,1636,228,532,684,590,342,4.05411,13042.7,0.0283471,4.34317,733.869,0.980167,0.84997
Tue Feb  3 11:31:59 2026,1770111119,193,4489,652800,499200,318750,52,100,0,29,44,36,0,2853,1636,152,532,608,571,342,4.05411,13042.7,0.0321395,4.32442,737.923,0.980061,0.84997
Tue Feb  3 11:32:00 2026,1770111120,194,4527,652800,499200,318750,46,100,0,38,46,38,126,2891,1636,228,532,684,571,361,4.05411,13042.7,0.031323,4.33379,741.977,0.979954,0.84997
Tue Feb  3 11:32:01 2026,1770111121,195,4489,652800,499200,318750,46,100,0,41,38,41,0,2853,1636,228,532,608,571,342,4.05411,13042.7,0.0337232,4.32442,746.032,0.979848,0.84997
Tue Feb  3 11:32:02 2026,1770111122,196,4489,652800,499200,318750,45,100,0,38,39,44,246,2853,1636,228,532,608,571,342,4.05411,13042.7,0.041467,4.32442,750.086,0.979742,0.84997
Tue Feb  3 11:32:03 2026,1770111123,197,4489,652800,499200,318750,34,100,0,35,48,43,0,2853,1636,228,532,608,552,342,4.05411,13042.7,0.0377015,4.32442,754.14,0.979636,0.84997
Tue Feb  3 11:32:04 2026,1770111124,198,4413,652800,499200,318750,43,100,0,38,42,38,116,2777,1636,228,532,608,552,323,4.05411,13042.7,0.0361945,4.30567,758.194,0.979531,0.84997
Tue Feb  3 11:32:05 2026,1770111125,199,4489,652800,499200,318750,47,100,0,38,34,46,0,2853,1636,228,532,608,552,323,4.05411,13042.7,0.0348398,4.32442,762.248,0.979425,0.849969
Tue Feb  3 11:32:08 2026,1770111128,200,4489,652800,499200,318750,99,100,0,47,45,42,227,2853,1636,152,532,684,552,323,4.05411,13042.7,2.99811,4.32442,766.302,0.979319,0.849969
Tue Feb  3 11:32:11 2026,1770111131,201,4337,652800,499200,318750,100,57,0,62,66,65,223,2701,1636,228,532,532,590,285,4.05411,13042.7,3.15687,4.28693,770.356,0.979214,0.849969
Tue Feb  3 11:32:16 2026,1770111136,202,4337,652800,499200,318750,100,13,0,68,66,78,0,2701,1636,152,532,532,609,285,4.05411,13042.7,5.43559,4.28693,774.411,0.979109,0.849969
Tue Feb  3 11:32:20 2026,1770111140,203,4223,652800,499200,318750,99,9,0,74,93,80,0,2587,1636,152,532,532,590,228,4.05411,13042.7,3.5412,4.25881,778.465,0.979004,0.849969
Tue Feb  3 11:32:22 2026,1770111142,204,4223,499200,652800,1032750,100,8,0,84,86,96,0,2587,1636,152,532,532,552,266,3.89578,12044.6,2.76982,4.17569,782.36,0.978906,0.849969
Tue Feb  3 11:32:25 2026,1770111145,205,5172,499200,652800,1032750,100,17,0,62,35,33,0,3536,1636,152,836,380,1199,266,3.89578,12044.6,2.66029,4.41928,786.256,0.978802,0.849969
Tue Feb  3 11:32:28 2026,1770111148,206,5286,499200,499200,318750,99,0,0,86,66,63,0,3651,1635,152,836,532,1180,304,3.89578,12044.6,2.7184,4.44855,790.152,0.978697,0.849969
