TIME,UTIME,ITERATION,PID1,REF1,THR1,MAP1,PID2,REF2,THR2,MAP2,PID3,REF3,THR3,MAP3,PID4,REF4,THR4,MAP4,PID5,REF5,THR5,MAP5
Tue Feb  3 11:29:43 2026,1770110983,59,29982,25,32,2,0.0252549,31287,25,24,2,0.0125527,32661,25,6,1,0.162
Tue Feb  3 11:29:44 2026,1770110984,60,29982,25,31,2,0.0252585,31287,25,24,2,0.0120353,32661,25,6,1,0.16
Tue Feb  3 11:29:45 2026,1770110985,61,29982,25,31,2,0.0253411,31287,25,24,2,0.0120285,32661,25,7,1,0.162
Tue Feb  3 11:29:46 2026,1770110986,62,29982,25,31,2,0.0252591,31287,25,23,2,0.0131648,32661,25,6,1,0.158
Tue Feb  3 11:29:47 2026,1770110987,63,29982,25,30,2,0.0252604,31287,25,24,2,0.0131237,32661,25,6,1,0.16
Tue Feb  3 11:29:48 2026,1770110988,64,29982,25,31,2,0.025283,31287,25,24,2,0.0120231,32661,25,7,1,0.157
Tue Feb  3 11:29:49 2026,1770110989,65,29982,25,31,2,0.0252668,31287,25,25,2,0.0124772,32661,25,6,1,0.164
Tue Feb  3 11:29:50 2026,1770110990,66,29982,25,31,2,0.0254198,31287,25,24,2,0.0115158,32661,25,6,1,0.157
Tue Feb  3 11:29:51 2026,1770110991,67,29982,25,31,2,0.0252479,31287,25,24,2,0.012098,32661,25,6,1,0.16
Tue Feb  3 11:29:52 2026,1770110992,68,29982,25,31,2,0.0253469,31287,25,24,2,0.0131584,32661,25,7,1,0.155
Tue Feb  3 11:29:53 2026,1770110993,69,29982,25,30,2,0.025309,31287,25,24,2,0.0119194,32661,25,6,1,0.156
Tue Feb  3 11:29:54 2026,1770110994,70,29982,25,32,2,0.0252908,31287,25,25,2,0.0116626,32661,25,7,1,0.155
Tue Feb  3 11:29:55 2026,1770110995,71,29982,25,32,2,0.0252642,31287,25,24,2,0.0120055,32661,25,6,1,0.16
Tue Feb  3 11:29:56 2026,1770110996,72,29982,25,31,2,0.0252661,31287,25,24,2,0.0117226,32661,25,6,1,0.156
Tue Feb  3 11:29:57 2026,1770110997,73,29982,25,30,2,0.0253206,31287,25,25,2,0.0150295,32661,25,6,1,0.157
Tue Feb  3 11:29:58 2026,1770110998,74,29982,25,32,2,0.0252649,31287,25,24,2,0.0119987
Tue Feb  3 11:30:00 2026,1770111000,75,29982,25,32,1,0.0253256,31287,25,18,0,0.0566341
Tue Feb  3 11:30:01 2026,1770111001,76,29982,25,30,1,0.0253356,31287,25,29,0,0.019893
Tue Feb  3 11:30:02 2026,1770111002,77,29982,25,30,1,0.0253491,31287,25,25,0,0.0220468
Tue Feb  3 11:30:03 2026,1770111003,78,29982,25,28,1,0.0253428,31287,25,23,0,0.0220468
Tue Feb  3 11:30:04 2026,1770111004,79,29982,25,29,1,0.0253226,31287,25,24,0,0.0217729
Tue Feb  3 11:30:05 2026,1770111005,80,29982,25,30,1,0.025322,31287,25,23,0,0.0227226
Tue Feb  3 11:30:06 2026,1770111006,81,29982,25,24,1,0.0253992,31287,25,20,0,0.0285473
Tue Feb  3 11:30:07 2026,1770111007,82,29982,25,24,1,0.0253192,31287,25,21,0,0.0319668
Tue Feb  3 11:30:08 2026,1770111008,83,29982,25,24,1,0.0253279,31287,25,19,0,0.0260048
Tue Feb  3 11:30:09 2026,1770111009,84,29982,25,24,1,0.0253494,31287,25,22,0,0.0287873
Tue Feb  3 11:30:10 2026,1770111010,85,29982,25,26,1,0.0253312,31287,25,23,0,0.0300765
Tue Feb  3 11:30:11 2026,1770111011,86,29982,25,26,1,0.0253209,31287,25,23,0,0.0289722
Tue Feb  3 11:30:12 2026,1770111012,87,29982,25,23,1,0.0253447,31287,25,23,0,0.0283506
Tue Feb  3 11:30:13 2026,1770111013,88,29982,25,29,1,0.0253257,31287,25,21,0,0.0283648
Tue Feb  3 11:30:14 2026,1770111014,89,29982,25,29,1,0.0253461,31287,25,23,0,0.0251191
Tue Feb  3 11:30:15 2026,1770111015,90,29982,25,29,1,0.0253523,31287,25,23,0,0.0231378
Tue Feb  3 11:30:16 2026,1770111016,91,29982,25,29,1,0.025322,31287,25,25,0,0.0239046
Tue Feb  3 11:30:17 2026,1770111017,92,29982,25,30,1,0.0253917,31287,25,23,0,0.0231069
Tue Feb  3 11:30:18 2026,1770111018,93,29982,25,28,1,0.0253626,31287,25,22,0,0.0230118
Tue Feb  3 11:30:19 2026,1770111019,94,6174,25,0,0,0,29982,25,26,1,0.0253271,31287,25,21,0,0.0214766
Tue Feb  3 11:30:20 2026,1770111020,95,6174,25,0,1,0,29982,25,26,2,0.0254455,31287,25,21,2,0.0211607
Tue Feb  3 11:30:21 2026,1770111021,96,6174,25,0,1,0,29982,25,31,2,0.0253069,31287,25,24,2,0.0103992
Tue Feb  3 11:30:22 2026,1770111022,97,6174,25,0,1,0,29982,25,32,2,0.025292,31287,25,24,2,0.0113349
Tue Feb  3 11:30:23 2026,1770111023,98,6174,25,0,1,0,29982,25,31,2,0.0252808,31287,25,24,2,0.0108537
Tue Feb  3 11:30:24 2026,1770111024,99,6174,25,0,1,0,29982,25,30,2,0.025319,31287,25,24,2,0.0124279
Tue Feb  3 11:30:25 2026,1770111025,100,6174,25,0.598191,1,0.195,29982,25,28,2,0.0253748,31287,25,21,2,0.0100927
Tue Feb  3 11:30:26 2026,1770111026,101,6174,25,5,1,0.194,29982,25,32,2,0.025352,31287,25,24,2,0.0113873
Tue Feb  3 11:30:27 2026,1770111027,102,6174,25,5,1,0.205,29982,25,30,2,0.025402,31287,25,24,2,0.0116505
Tue Feb  3 11:30:28 2026,1770111028,103,6174,25,5,1,0.196,29982,25,30,2,0.0253605,31287,25,23,2,0.011228
Tue Feb  3 11:30:29 2026,1770111029,104,6174,25,5,1,0.194,29982,25,30,2,0.0253718,31287,25,5,2,0.0119568
Tue Feb  3 11:30:30 2026,1770111030,105,6174,25,5,1,0.203,29982,25,31,2,0.0254088
Tue Feb  3 11:30:31 2026,1770111031,106,6174,25,5,0,0.19,29982,25,32,1,0.0254192
Tue Feb  3 11:30:32 2026,1770111032,107,6174,25,9,0,0.118,29982,25,34,1,0.0251676
Tue Feb  3 11:30:33 2026,1770111033,108,6174,25,8,0,0.118,29982,25,35,1,0.0251668
Tue Feb  3 11:30:34 2026,1770111034,109,6174,25,8,0,0.118,29982,25,34,1,0.0251717
Tue Feb  3 11:30:35 2026,1770111035,110,6174,25,9,0,0.118,29982,25,35,1,0.0251704
Tue Feb  3 11:30:36 2026,1770111036,111,6174,25,8,0,0.118,29982,25,35,1,0.0251721
Tue Feb  3 11:30:37 2026,1770111037,112,6174,25,8,0,0.118,29982,25,34,1,0.0251716
Tue Feb  3 11:30:38 2026,1770111038,113,6174,25,9,0,0.119,29982,25,35,1,0.0251697
Tue Feb  3 11:30:39 2026,1770111039,114,6174,25,8,0,0.12,29982,25,31,1,0.0251695
Tue Feb  3 11:30:40 2026,1770111040,115,6174,25,8,0,0.119,29982,25,34,1,0.0251686
Tue Feb  3 11:30:41 2026,1770111041,116,6174,25,9,0,0.118,29982,25,34,1,0.0251726
Tue Feb  3 11:30:42 2026,1770111042,117,6174,25,8,0,0.117,29982,25,35,1,0.025161
Tue Feb  3 11:30:43 2026,1770111043,118,6174,25,8,0,0.118,29982,25,35,1,0.0251656
Tue Feb  3 11:30:44 2026,1770111044,119,6174,25,9,0,0.118,29982,25,35,1,0.0251732
Tue Feb  3 11:30:45 2026,1770111045,120,6174,25,8,0,0.118,29982,25,35,1,0.0251795
Tue Feb  3 11:30:46 2026,1770111046,121,6174,25,9,0,0.118,29982,25,35,1,0.0251636
Tue Feb  3 11:30:47 2026,1770111047,122,6174,25,8,0,0.118,29982,25,35,1,0.0251646
Tue Feb  3 11:30:48 2026,1770111048,123,6174,25,8,0,0.118,29982,25,35,1,0.025164
Tue Feb  3 11:30:49 2026,1770111049,124,6174,25,9,0,0.118,29982,25,35,1,0.0251695
Tue Feb  3 11:30:50 2026,1770111050,125,6174,25,8,0,0.118,29982,25,34,1,0.0251657
Tue Feb  3 11:30:51 2026,1770111051,126,6174,25,8,0,0.118,29982,25,35,1,0.0251636
Tue Feb  3 11:30:52 2026,1770111052,127,6174,25,9,0,0.118,29982,25,35,1,0.0251698
Tue Feb  3 11:30:53 2026,1770111053,128,6174,25,8,0,0.12,29982,25,33,1,0.0251654
Tue Feb  3 11:30:54 2026,1770111054,129,6174,25,8,0,0.12,29982,25,34,1,0.0251635
Tue Feb  3 11:30:55 2026,1770111055,130,6174,25,8,0,0.124,29982,25,32,1,0.0251681
Tue Feb  3 11:30:56 2026,1770111056,131,6174,25,9,0,0.119,29982,25,34,1,0.025183
Tue Feb  3 11:30:57 2026,1770111057,132,29982,25,35,1,0.025176
Tue Feb  3 11:30:58 2026,1770111058,133,29982,25,34,2,0.0253163
Tue Feb  3 11:30:59 2026,1770111059,134,29982,25,32,2,0.0262495
Tue Feb  3 11:31:00 2026,1770111060,135,29982,25,32,2,0.0253588
Tue Feb  3 11:31:01 2026,1770111061,136,29982,25,32,2,0.025356
Tue Feb  3 11:31:02 2026,1770111062,137,29982,25,32,2,0.025331
Tue Feb  3 11:31:03 2026,1770111063,138,29982,25,29,2,0.0253429
Tue Feb  3 11:31:04 2026,1770111064,139,12182,25,0,0,0,29982,25,33,2,0.0253467
Tue Feb  3 11:31:05 2026,1770111065,140,12182,25,0,2,0,29982,25,33,2,0.0253358
Tue Feb  3 11:31:06 2026,1770111066,141,12182,25,0,2,0,29982,25,32,2,0.0253128
Tue Feb  3 11:31:07 2026,1770111067,142,12182,25,0,2,0,29982,25,33,2,0.0253247
Tue Feb  3 11:31:08 2026,1770111068,143,12182,25,0,2,0,29982,25,32,2,0.0253418
Tue Feb  3 11:31:09 2026,1770111069,144,12182,25,0,2,0,29982,25,28,2,0.0253492
Tue Feb  3 11:31:10 2026,1770111070,145,12182,25,0,2,0,29982,25,32,2,0.0253483
Tue Feb  3 11:31:11 2026,1770111071,146,12182,25,2.27722,2,0.0055837,29982,25,28,2,0.0253566
Tue Feb  3 11:31:12 2026,1770111072,147,12182,25,23,2,0.00506396,29982,25,29,2,0.0253454
Tue Feb  3 11:31:13 2026,1770111073,148,12182,25,23,2,0.00508985,29982,25,28,2,0.02534
Tue Feb  3 11:31:14 2026,1770111074,149,12182,25,21,2,0.00488312,29982,25,26,2,0.0253711
Tue Feb  3 11:31:15 2026,1770111075,150,12182,25,22,2,0.00471394,29982,25,28,2,0.0253315
Tue Feb  3 11:31:16 2026,1770111076,151,12182,25,23,2,0.00606182,29982,25,29,2,0.0253349
Tue Feb  3 11:31:17 2026,1770111077,152,12182,25,24,2,0.00491314,29982,25,29,2,0.025354
Tue Feb  3 11:31:18 2026,1770111078,153,12182,25,23,2,0.00462184,29982,25,29,2,0.0253628
